Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
516022,STARPAPER,Star Paper Mills Ltd,15 Sep 2023,Dividend - Rs. - 3.5000,15 Sep 2023,-,-,11 Sep 2023,15 Sep 2023,-
523283,SUPERHOUSE,Superhouse Ltd,15 Sep 2023,Dividend - Rs. - 1.0000,15 Sep 2023,-,-,11 Sep 2023,15 Sep 2023,-
543434,SUPRIYA,Supriya Lifescience Ltd,15 Sep 2023,Final Dividend - Rs. - 0.6000,-,16 Sep 2023,29 Sep 2023,12 Sep 2023,15 Sep 2023,-
523842,SUPTANERY,Super Tannery Ltd,15 Sep 2023,Dividend - Rs. - 0.0500,-,16 Sep 2023,30 Sep 2023,12 Sep 2023,15 Sep 2023,-
505160,TALBROAUTO,Talbros Automotive Components Ltd,15 Sep 2023,Final Dividend - Rs. - 2.0000,-,18 Sep 2023,25 Sep 2023,12 Sep 2023,18 Sep 2023,-
542141,TECHNOE,Techno Electric & Engineering Company Ltd,15 Sep 2023,Dividend - Rs. - 6.0000,15 Sep 2023,-,-,11 Sep 2023,15 Sep 2023,-
530475,TINNARUBR,Tinna Rubber and Infrastructure Ltd,15 Sep 2023,Bonus issue 1:1,16 Sep 2023,-,-,12 Sep 2023,15 Sep 2023,-
532729,UTTAMSUGAR,Uttam Sugar Mills Ltd,15 Sep 2023,Final Dividend - Rs. - 2.5000,-,16 Sep 2023,22 Sep 2023,12 Sep 2023,15 Sep 2023,-
512229,VERITAS,Veritas (India) Ltd,15 Sep 2023,Final Dividend - Rs. - 0.0500,-,16 Sep 2023,22 Sep 2023,12 Sep 2023,15 Sep 2023,-
500439,VHL,Vardhman Holdings Ltd,15 Sep 2023,Final Dividend - Rs. - 5.0000,-,16 Sep 2023,30 Sep 2023,14 Sep 2023,15 Sep 2023,-
530477,VIKRAMTH,Vikram Thermo India Ltd,15 Sep 2023,Final Dividend - Rs. - 0.5000,-,16 Sep 2023,22 Sep 2023,12 Sep 2023,15 Sep 2023,-
534392,VSSL,Vardhman Special Steels Ltd,15 Sep 2023,Final Dividend - Rs. - 2.0000,-,16 Sep 2023,27 Sep 2023,12 Sep 2023,15 Sep 2023,-
502986,VTL,Vardhman Textiles Ltd,15 Sep 2023,Final Dividend - Rs. - 3.5000,-,16 Sep 2023,30 Sep 2023,12 Sep 2023,15 Sep 2023,-
509910,ZSOUTGAS,Southern Gas Ltd,15 Sep 2023,Final Dividend - Rs. - 50.0000,-,16 Sep 2023,22 Sep 2023,12 Sep 2023,15 Sep 2023,-
511122,1STCUS,First Custodian Fund India Ltd,18 Sep 2023,Final Dividend - Rs. - 1.0000,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
520123,ABCINDQ,ABC India Ltd-$,18 Sep 2023,Dividend - Rs. - 0.5000,-,19 Sep 2023,25 Sep 2023,13 Sep 2023,18 Sep 2023,-
543349,ACUTAAS,Acutaas Chemicals Ltd,18 Sep 2023,Final Dividend - Rs. - 3.0000,18 Sep 2023,-,-,12 Sep 2023,18 Sep 2023,-
537292,AGRITECH,Agri- Tech (India) Ltd,18 Sep 2023,E.G.M. ,-,19 Sep 2023,23 Sep 2023,13 Sep 2023,18 Sep 2023,-
524288,AIMCOPEST,Aimco Pesticides Ltd,18 Sep 2023,Final Dividend - Rs. - 1.0000,-,19 Sep 2023,25 Sep 2023,13 Sep 2023,18 Sep 2023,-
523537,APMIN,APM Industries Ltd-$,18 Sep 2023,Dividend - Rs. - 1.6000,-,19 Sep 2023,25 Sep 2023,13 Sep 2023,18 Sep 2023,-
524824,BALPHARMA,Bal Pharma Ltd,18 Sep 2023,Final Dividend - Rs. - 1.0000,-,19 Sep 2023,25 Sep 2023,13 Sep 2023,18 Sep 2023,-
506981,BLUECHIPT,Bluechip Tex Industries Ltd,18 Sep 2023,Final Dividend - Rs. - 2.0000,-,20 Sep 2023,27 Sep 2023,13 Sep 2023,20 Sep 2023,-
530309,CHANDRAP,Chandra Prabhu International Ltd-$,18 Sep 2023,Final Dividend - Rs. - 0.2000,-,19 Sep 2023,25 Sep 2023,13 Sep 2023,18 Sep 2023,-
531344,CONCOR,Container Corporation of India Ltd,18 Sep 2023,Final Dividend - Rs. - 2.0000,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
